indice_tiempo,nivel_general,inflacion_intermensual,inflacion_interanual,año,inflacion_acumulada,inflacion_anualizada,inflacion_intertrimestral,inflacion_intercuatrimestral,inflacion_intersemestral
1960-10-01,6.92782e-11,0.8053872916142346,11.249355658721516,1960,3.089798189929427,10.104459707505086,1.418549770748312,2.3512743271573378,1.6243001045900929
1960-11-01,7.10084e-11,2.4974667355676106,11.690048021039301,1960,5.6644316074867085,34.449001496436,3.427261366185319,3.9514443149678335,4.374079485423166
1960-12-01,7.75142e-11,9.16201463488826,18.506027411920268,1960,15.345422295236123,186.32449677246942,12.789433784359904,12.90328218901935,14.519100502757553
1961-01-01,7.28079e-11,-6.0715326998149965,8.342187262841172,1961,0.0,-52.840756661062585,5.094964938465485,5.941386430206319,6.58578932266809
1961-02-01,7.37076e-11,1.2357175526282127,8.784353198328688,1961,1.2357175526282127,15.879119218644156,3.80124041662675,6.3936418671385775,7.358780227046946
1961-03-01,7.45384e-11,1.127156494038628,9.229937324058213,1961,2.376802517309251,14.396714182405624,-3.8390385245541947,4.9712428388754,8.459403969751778
1961-04-01,7.61992e-11,2.228113294623979,11.776725846365533,1961,4.657873664808365,30.269920229267644,4.657873664808365,-1.6964633576815547,9.990155633373842
1961-05-01,7.67528e-11,0.7265168138248068,12.817678583502602,1961,5.418230713974714,9.07514334853401,4.131459985130426,5.418230713974714,8.089747128508717
1961-06-01,7.77908e-11,1.3523936586026908,14.927747991850682,1961,6.843900181161655,17.491952105316155,4.36338853530529,5.539727246579718,0.3568378439047226
1961-07-01,7.89675e-11,1.512646739717316,15.603022726074967,1961,8.460070953838805,19.740706267560792,3.6329777740448765,5.942037929443078,8.460070953838805
1961-08-01,7.95903e-11,0.7886788868838313,15.927224952443652,1961,9.315472634150979,9.885662624828683,3.696933532066593,4.45030918959779,7.981130846751228
1961-09-01,8.0421e-11,1.043720151827543,17.019063015189605,1961,10.456420251099141,13.2692248449769,3.3811196182581993,4.779239324167994,7.892039539351536
1961-10-01,8.049e-11,0.08579848547021207,16.18373456585187,1961,10.551190186779191,1.0344542584711514,1.9280083578687268,3.469819053152823,5.631030247036728
1961-11-01,8.30509e-11,3.181637470493226,16.95926115783484,1961,14.068528277837999,45.62266980759362,4.348017283513195,5.170988064710169,8.20569412451404
1961-12-01,9.02486e-11,8.66661288438777,16.428473750616025,1961,23.9544060465966,171.11501145593544,12.220191243580668,13.391455994009327,16.014490145364245
1962-01-01,8.66496e-11,-3.9878734960985707,19.011261140617975,1962,0.0,-38.636084374141035,7.65262765560939,7.7449919797067945,9.728179314274854
1962-02-01,8.78956e-11,1.4379754782480214,19.24903266420288,1962,1.4379754782480214,18.68801718635349,5.8334105951892035,9.200646042986694,10.435065579599524
1962-03-01,8.92795e-11,1.574481544013584,19.77651787535015,1962,3.035097680774057,20.618902170840215,-1.0738116713167933,7.499738112410581,11.015157732433067
1962-04-01,9.21864e-11,3.25595461444117,20.9807976986635,1962,6.389873698205184,46.8862941079293,6.389873698205184,2.1471801224617337,14.531494595601945
1962-05-01,9.53701e-11,3.453546293162546,24.256183487768524,1962,10.06409723760986,50.295019707271194,8.503838644937867,10.06409723760986,14.833313064638665
1962-06-01,9.67541e-11,1.4511885800686075,24.377304257058686,1962,11.661334847477667,18.873670835378363,8.372134700575163,10.078433960289267,7.208422069705245
1962-07-01,1.011145e-10,4.5066824041565035,28.04571500933928,1962,16.693556577295233,69.7183237748948,9.684834205479342,13.25612262613478,16.693556577295233
1962-08-01,1.024294e-10,1.3004069643819616,28.695833537503958,1962,18.211047714011386,16.770806884761534,7.40200545034555,11.111183428358196,16.535298695270306
1962-09-01,1.062173e-10,3.6980593462423883,32.076572039641384,1962,22.582562412290418,54.6135480862211,9.780670793279045,11.37379535095382,18.971656427287353
1962-10-01,1.080355e-10,1.7117738824089734,34.2222636352342,1962,24.6808987000517,22.589914791292266,6.844715644145993,11.659867643851785,17.19244921159737
1962-11-01,1.074816e-10,-0.5127018433755515,29.416538532393986,1962,24.041657434079333,-5.981863447053115,4.932372931990225,6.296920817489093,12.699472895593079
1962-12-01,1.179323e-10,9.723245653209478,30.674935677672565,1962,36.102532498707454,204.49751206100046,11.029276775063956,15.135205321909527,21.888684820591585
1963-01-01,1.130877e-10,-4.107950069658617,30.51150842011967,1963,0.0,-39.55070583700877,4.676425804480933,6.4682495224412495,11.841229497253103
1963-02-01,1.141257e-10,0.9178717048803797,29.84233568005681,1963,0.9178717048803797,11.587871925679893,6.181616202215068,5.637221098620371,11.418889498522876
1963-03-01,1.195239e-10,4.730047657977132,33.876085775569976,1963,5.691335131937425,74.12278864710787,1.349587856761869,11.204057252590193,12.52771441187075
1963-04-01,1.213927e-10,1.5635366650519122,31.681788203032113,1963,7.343857908508178,20.463031069764483,7.343857908508178,2.9342258227813556,12.363713779266995
1963-05-01,1.213927e-10,0.0,27.285910363940058,1963,7.343857908508178,0.0,6.367540352435941,7.343857908508178,12.942773460759781
1963-06-01,1.227769e-10,1.1402662598327673,26.895811133585035,1963,8.567863702241718,14.57480093279251,2.7216314059363977,7.580413526488794,4.107950069658606
1963-07-01,1.246454e-10,1.5218660839294795,23.27153870117542,1963,10.220121197972908,19.8712691968675,2.679485669237125,4.284917075162387,10.220121197972908
1963-08-01,1.251993e-10,0.4443806189398103,22.229848070963996,1963,10.709918054748657,5.464850377956387,3.135773403178299,3.135773403178299,9.702985392422558
1963-09-01,1.27137e-10,1.547692359302344,19.69519089639824,1963,12.423366997471884,20.237712061234458,3.551238058625028,4.731997887846662,6.369521074864548
1963-10-01,1.310819e-10,3.102873278431928,21.332247270573124,1963,15.911721610749897,44.29431500451868,5.163848806293703,6.764301753831536,7.981699064276548
1963-11-01,1.34404e-10,2.5343697337313564,25.04838037394308,1963,18.84935320109968,35.03103437976869,7.352037910755094,7.829089561267399,10.718354563330434
1963-12-01,1.460313e-10,8.651007410493738,23.826381746137404,1963,29.13101955385069,170.64816652870562,14.861370018169385,16.63907066573056,18.940370704912723
1964-01-01,1.453389e-10,-0.47414492646440376,28.518751376144348,1964,0.0,-5.543682508082215,10.876406277296846,14.316760659760707,16.60189625930839
1964-02-01,1.442315e-10,-0.7619432925390246,26.379509610893948,1964,-0.7619432925390246,-8.769718427645856,7.311910359810714,10.031590936658663,15.201522692219527
